Date;1 MO;2 MO;3 MO;6 MO;1 YR;2 YR;3 YR;5 YR;7 YR;10 YR;20 YR;30 YR
04/02/2022;0.05;0.12;0.23;0.56;0.89;1.31;1.55;1.78;1.9;1.93;2.29;2.23
03/02/2022;0.03;0.15;0.2;0.48;0.78;1.19;1.42;1.66;1.78;1.82;2.2;2.14
02/02/2022;0.04;0.1;0.19;0.45;0.76;1.16;1.38;1.6;1.74;1.78;2.17;2.11
01/02/2022;0.04;0.1;0.19;0.48;0.78;1.18;1.39;1.63;1.76;1.81;2.19;2.12
31/01/2022;0.03;0.13;0.22;0.49;0.78;1.18;1.39;1.62;1.75;1.79;2.17;2.11
28/01/2022;0.04;0.1;0.19;0.43;0.75;1.15;1.38;1.61;1.74;1.78;2.14;2.07
27/01/2022;0.04;0.14;0.2;0.43;0.75;1.18;1.43;1.66;1.78;1.81;2.17;2.09
26/01/2022;0.06;0.11;0.19;0.4;0.7;1.13;1.39;1.66;1.81;1.85;2.22;2.16
25/01/2022;0.05;0.09;0.19;0.39;0.65;1.02;1.28;1.56;1.73;1.78;2.18;2.12
24/01/2022;0.05;0.09;0.19;0.39;0.58;0.99;1.25;1.53;1.69;1.75;2.15;2.1
21/01/2022;0.05;0.08;0.17;0.35;0.58;1.01;1.28;1.54;1.7;1.75;2.13;2.07
20/01/2022;0.05;0.09;0.17;0.36;0.6;1.08;1.34;1.62;1.77;1.83;2.19;2.14
19/01/2022;0.05;0.06;0.17;0.36;0.57;1.04;1.33;1.62;1.78;1.83;2.2;2.14
18/01/2022;0.05;0.06;0.16;0.37;0.58;1.06;1.35;1.65;1.82;1.87;2.24;2.18
14/01/2022;0.05;0.05;0.13;0.3;0.51;0.99;1.26;1.55;1.72;1.78;2.18;2.12
13/01/2022;0.05;0.05;0.12;0.28;0.47;0.91;1.18;1.47;1.64;1.7;2.1;2.05
12/01/2022;0.04;0.06;0.12;0.27;0.48;0.92;1.21;1.5;1.67;1.74;2.13;2.08
11/01/2022;0.04;0.05;0.11;0.28;0.46;0.9;1.22;1.51;1.69;1.75;2.13;2.08
10/01/2022;0.05;0.06;0.13;0.28;0.46;0.92;1.21;1.53;1.71;1.78;2.15;2.11
07/01/2022;0.05;0.05;0.1;0.24;0.43;0.87;1.17;1.5;1.69;1.76;2.15;2.11
06/01/2022;0.04;0.05;0.1;0.23;0.45;0.88;1.15;1.47;1.66;1.73;2.12;2.09
05/01/2022;0.05;0.06;0.09;0.22;0.41;0.83;1.1;1.43;1.62;1.71;2.12;2.09
04/01/2022;0.06;0.05;0.08;0.22;0.38;0.77;1.02;1.37;1.57;1.66;2.1;2.07
03/01/2022;0.05;0.06;0.08;0.22;0.4;0.78;1.04;1.37;1.55;1.63;2.05;2.01
31/12/2021;0.06;0.05;0.06;0.19;0.39;0.73;0.97;1.26;1.44;1.52;1.94;1.9
30/12/2021;0.06;0.06;0.05;0.19;0.38;0.73;0.98;1.27;1.44;1.52;1.97;1.93
29/12/2021;0.01;0.02;0.05;0.19;0.38;0.75;0.99;1.29;1.47;1.55;2.0;1.96
28/12/2021;0.03;0.04;0.06;0.2;0.39;0.74;0.99;1.27;1.41;1.49;1.94;1.9
27/12/2021;0.04;0.05;0.06;0.21;0.33;0.76;0.98;1.26;1.41;1.48;1.92;1.88
23/12/2021;0.04;0.05;0.07;0.18;0.31;0.71;0.97;1.25;1.42;1.5;1.94;1.91
22/12/2021;0.03;0.04;0.08;0.16;0.28;0.68;0.96;1.23;1.39;1.46;1.89;1.86
21/12/2021;0.03;0.04;0.07;0.16;0.29;0.7;0.96;1.24;1.4;1.48;1.92;1.89
20/12/2021;0.03;0.05;0.07;0.16;0.27;0.65;0.91;1.17;1.34;1.43;1.9;1.85
17/12/2021;0.03;0.04;0.05;0.13;0.27;0.66;0.93;1.18;1.34;1.41;1.87;1.82
16/12/2021;0.04;0.06;0.05;0.13;0.26;0.64;0.92;1.19;1.36;1.44;1.91;1.87
15/12/2021;0.03;0.05;0.05;0.13;0.29;0.69;1.0;1.26;1.42;1.47;1.91;1.86
14/12/2021;0.02;0.05;0.05;0.13;0.26;0.67;0.98;1.23;1.39;1.44;1.87;1.82
13/12/2021;0.01;0.05;0.05;0.11;0.27;0.66;0.95;1.21;1.37;1.42;1.86;1.81
10/12/2021;0.03;0.06;0.06;0.13;0.27;0.67;0.98;1.25;1.42;1.48;1.91;1.88
09/12/2021;0.03;0.06;0.06;0.12;0.28;0.7;0.99;1.26;1.42;1.49;1.91;1.87
